Player,ECO
UnknownSuperGM,B50W
Alexandr_KhleBovich,B50B
JosephJess,B52W
Goldbart,B52B
SuperConfinado,B51W
hesham-a,B51B
KNCP_719,B52W
drawingchest,B52B
GreenNight,B52B
fireanigirl,B52W
Saparmyrat,B54B
Harry_Rakel,B81W
MahammadMuradli2003,B90B
Lunaticxxx,B90W
cutemouse83,B90B
bernadskiyvitaliy,B90B
EleKtRoMaGnIt,B90W
Mapwright,B90B
RussianBlizzard,B90W
magicstar12,B90B
Creep30,B90W
dont_blunder,B90B
yankitaspinar,B90W
Queen_Annes_Revenge,B90B
sopueyz,B90W
ElAsesinoFavorito,B90B
DarmenS,B90W
Mapwright,B90B
drawingchest,B90W
Alexandr_KhleBovich,B94W
Tyrann,B94W
bernadskiyvitaliy,B94B
MahammadMuradli2003,B94B
"Nguyen, Duc Hoa",B99W
Goldbart,B70B
"Nguyen, Duc Hoa",B75W
GingerGM,B75B
sopueyz,B76W
TheRedKing89,B76B
drawingchest,B79B
RussianBlizzard,B40W
Barneo00,B40B
gidropark,B40B
KNCP_719,B40W
Maurice93,B40B
Lunaticxxx,B40W
Yarebore,B40B
david_gomez,B40B
SuperConfinado,B22W
Barneo00,B22B
"Nguyen, Duc Hoa",B43W
Lucky_Tschig,B47W
Harry_Rakel,B47B
rasulovvugar,B48B
unknown-maestro_2450,B47W
Amadeus69,B30W
rasulovvugar,B30B
SuperConfinado,B22W
saivishwesh,B22B
SuperConfinado,B22W
saivishwesh,B22B
EleKtRoMaGnIt,B45W
Bubacik,B45B
SuperConfinado,B22W
"Nguyen, Duc Hoa",B22B
"Nguyen, Duc Hoa",B30B
SuperConfinado,B22W
saivishwesh,B22B
SuperConfinado,B22W
paleraven,B22B
gaizca,B33W
BMWHero,B30B
EltajSafarli,B30W
BMWHero,B30B
Lunaticxxx,B51W
Yarebore,B51B
SouthAfricanWolf,B30W
BMWHero,B51W
EltajSafarli,B51B
paleraven,B30B
BMWHero,B31W
EltajSafarli,B31B
"Nguyen, Duc Hoa",B33B
alitaptap0220,B33W
"Nguyen, Duc Hoa",B33B
Arnelos,B32W
RussianBlizzard,B32B
PlemSovhoz,B67B
bernadskiyvitaliy,B33B
fireanigirl,B11W
Arystanner23,B13W
KNCP_719,B10W
hesham-a,B10B
SuperConfinado,B15W
Lunaticxxx,B10W
Yarebore,B10B
Macrofago,B10W
dylanriver,B10B
chargemax23,B11W
EleKtRoMaGnIt,B11B
FakeBruceLee,B10B
Lunaticxxx,B11W
Yarebore,B11B
Lunaticxxx,B10W
Lukianoo,B10B
SuperConfinado,B17W
SilentAndCalm,B17B
PierrotDeCastelnau,B10W
clubchessmaster1,B10B
Alexandr_KhleBovich,B13W
sutulaja_sobaka,B13B
Haydon,B15W
Meysonn,B15B
fireanigirl,B10W
Barry_Lindon,B11W
Creep30,B10B
SuperConfinado,B17W
SilentAndCalm,B17B
GreenNight,B15W
FakeBruceLee,B15B
Haydon,B10B
Barry_Lindon,B10W
sopueyz,B15W
Roman_Morozov,B12W
Hawkeye_A,B12B
Yarebore,B12W
Lunaticxxx,B12B
unknown-maestro_2450,B12B
Glidzhian_Gor,B12B
rasulovvugar,B12W
dylanriver,B13B
Lunaticxxx,B13W
Yarebore,B13B
Harry_Rakel,B13W
rasulovvugar,B13B
BMWHero,B13W
BMWHero,B13W
KNCP_719,B13B
SouthAfricanWolf,B14B
FakeBruceLee,B15B
"Nguyen, Duc Hoa",B15W
Glidzhian_Gor,B18W
amsberserker,B18B
dylanriver,B15B
OUT-knock123,B15B
js20000,B15B
PierrotDeCastelnau,B00W
DrMelekess,B00B
Macrofago,B01W
Arystanner23,B01B
PierrotDeCastelnau,B01W
DrMelekess,B01B
bernadskiyvitaliy,B01W
Harry_Rakel,B01W
DrMelekess,B01B
Violet_Pride,B01B
DrMelekess,B01B
fireanigirl,B01B
fireanigirl,B01B
JosephJess,B01B
SuperConfinado,B01W
JosephJess,B01B
Napo18,B01B
Saparmyrat,B01W
fireanigirl,B01B
Harry_Rakel,A56W
lestri,A56B
Queen_Annes_Revenge,B07W
Amadeus69,B07W
lestri,B07B
Rikikits,C41W
Gettingold72,B07W
RSUPE_MiRacLe,B08W
Yarebore,C42W
Lunaticxxx,C42B
BMWHero,C54B
mutdpro,C32B
